text,clean_text,sentiment
@Dream11 https://t.co/eIhxkGyVee,,neutral
@Dream11 https://t.co/2UqgCWToXE,,neutral
@bandhanbank_in https://t.co/arukfeNRZ9,,neutral
@Dream11 @1526LS https://t.co/zhi0SAb8O7,,neutral
@BrigadeGroup @dwandering_soul https://t.co/esfR77aXfw,,neutral
@AyuubMalik @HomeCredit_In @Vivo_India @AhsanAl50847265 @vivoindia,,neutral
@EuropeanCricket @FanCode @Dream11 @asusualbob @RensHeinsbroek @TomNS11,,neutral
@Himanshu1687 @JawariPatil @KulkarniKH @biddaav @cheemskarni @HyundaiIndia https://t.co/JMeWELAL4n,,neutral
@cric11expertikm @Kumar508E @CricInformer @Dream11_FCG @Fantasybuzz11 @cric11forecast @FantasyTadka @Team11P @SFGPrediction @cricgram @StatsGuruji786 @anuragdwivedi https://t.co/PhZ7cZ5v8N,,neutral
@PrakashJavdekar @moefcc @anandmahindra @kiranshaw @RNTata2000 @vikramkirloskar @Ford @Honda @Maruti_Corp @TataMotors @Jairam_Ramesh @cpronammametro @royalenfield @HyundaiIndia @Kia_Worldwide @CEJI_india @napmindia @cfa_ind @esgindia1,,neutral
@Airrylovely @Jimin_Dream11 5555555 https://t.co/cxdS1qdH2j,10,neutral
"https://telegram.me/real_addaguru

or

https://telegram.me/real_addaguru",or,neutral
@EconomicTimes @HyundaiIndia Lol,lol,neutral
@JoriwalPawan @TheVolleyGeek @Dream11 @Bishnoitigers29 @Kartikvyas007 @Scorpion27XI @Deep63308551 @VishePrathamesh @mayyuu007 @kingaadarsh2 @kishore_sodha @KetanTeams @fantasyrocker1 🕺🥳,🕺🥳,positive
@j1ggyplayer1 @Shrey8299 @peeyushsharmaa @BCCIdomestic @CricketSatire @Anurag_Cricket @ESPNcric_stats @StatsGuruji786 @CricInformer @mayankglt @Dream11_FCG @__FCP__ @Brainhead8 @WizardlyChamp @drw @Dream11pundit THNX,thnx,neutral
@him22jan @alashshukla @shriadhar_ada @iPiyushPrakash @f4_f10_ @tiwariaditi0909 @ivijayasharma @iSourabhMishra @bandhanbank_in 🙏🙏🙏,🙏🙏🙏,neutral
@Dream11 Last is https://t.co/EJvUV45NDV,last is,neutral
#Dream11 https://t.co/NP2MQPxBcf,dream 10,neutral
@Dream11 @Gagande03107071 Fuck U,fuck you,negative
@mbhattacharye @bandhanbank_in @banda .......?,.......?,neutral
@bandhanbank_in I net job https://t.co/wMJ8J7FNQb,i net job,neutral
@KetanTeams @Dream11 @MyFab11Official @PrimeCaptain1 @batballeleven Plz add me,plz add me,neutral
@IDFCFIRSTBank @CNBC_Awaaz @IDFCFIRSTBank learn from @HDFC_Bank @bandhanbank_in,learn from,neutral
@Bishnoitigers29 @dream11_legend @GaneshDhanapun1 @GaneshDhanapun1 @teams_dream 😂😂😂😂😂 https://t.co/HsG3jw4cXn,😂😂😂😂😂,neutral
@HyundaiIndia Plz explain https://t.co/m0Bef4ASqf,plz explain,neutral
@Dream11 Supper💞💞💞 https://t.co/QQ8gKbnBRO,supper💞💞💞,positive
@GAJURATHORE001 @Dream11 @HodorFB @arjunkumar318 @WizardlyChamp @JimmyParmar16 Congrets bro,congrets bro,positive
@rishi_1905 @Dream11 Check it fast,check it fast,neutral
@venkat13361 @CricInformer @Dream11 Pls cancel...,pls cancel...,negative
@Kali_dream11 What on earth https://t.co/Qy0IGFiMSG,what on earth,neutral
RT @AyushSultania_: @IDFCFIRSTBank @CNBC_Awaaz @IDFCFIRSTBank learn from @HDFC_Bank @bandhanbank_in,rt learn from,neutral
@sidpatankar @Nissan_India @HyundaiIndia @HondaCarIndia @Mahindra_Thar @MGMotorIn @TataMotors_Cars @carandbike @carandbikehindi Hector plus 😍,hector plus 😍,positive
@ssomjeet007 @SGanguly99 @ArunPandey99 @ashwinravi99 @News18UP @ABPNews @JayShah @sachin_rt @Dream11 @virendersehwag @YUVSTRONG12 @MohammadKaif @india_wcc @UPCACricket @KimNeill1 #Cricket4All,cricket 10 all,neutral
@ashu7077 @Dream11 All d best 👍👍,all d best 👍👍,positive
@BCCI @imVkohli @HyundaiIndia I want this car,i want this car,neutral
@him22jan @bandhanbank_in @alashshukla @f4_f10_ @ShailenBh @UjjwalSri1993 @DFS_India @nsitharaman Thank you again,thank you again,positive
@SHRISAISARKAR1 @RBI @PMOIndia @nsitharaman @DasShaktikanta @SMSIND @RMASindia @TV9Bharatvarsh @BankofBarodaCEO @Early_Salary @HomeCredit_In @RBLBankCares Noone will help,noone will help,neutral
"@HyundaiIndia Ghazipur up
Mob. 9026424240",ghazipur up mob.,neutral
@Amod05128770 @PGupta56 @Dream11 #Boycottdream11,boycott dream 10,negative
"RT @DrdhimanBhatta1: @avinash_arsh #BANDHANBNK 
#bandhanbank https://t.co/asSsG9QZVk",rt band han bank,neutral
@mayyuu007 @GaneshDhanapun1 @Dream11 @deep @ganesh_G30 @JimmyParmar16 @arjunkumar318 @VishePrathamesh @Candy24162 @Erjaivin @AJ_WhiteWolf @SandyNagwekar Team milega bhai,team milega bhai,neutral
Any branch in Nagpur.My no.9822031304,any branch in no.,neutral
@Dream11 @faf1307 My money deducted https://t.co/hSglmeY0E6,my money deducted,negative
@IndSuperLeague @Dream11 My money deducted https://t.co/3I2QbVycD2,my money deducted,negative
@Rajveermahala7 @Dream11 Bhaii 2 baar krdi,bhaii 10 baar krdi,neutral
@Kali_dream11 @Ichi_D548 @yungJcurls Right like wtf lmaooo,right like wtf loo,negative
@suraj_vagoli @KiaMotorsIN @KiaSonet @HyundaiIndia @KiaMotorsIN very poor service.,very poor service.,negative
@srinivasanravi @HyundaiIndia They blocked me 😂😂 https://t.co/FNHUmCFAIT,they blocked me 😂😂,negative
Extra Min Suck Gl 😡@SandyNagwekar @Riskymukesh1 @GAJURATHORE001 @Lalit49 @Dream11 https://t.co/GKkfvaxUK5,extra min suck gl 😡,negative
Jiva Ayurveda call mi 9892521137,jiva ayurveda call mi,neutral
@HyundaiIndia You may contact me on 9789017427,you may contact me on,neutral
@HyundaiIndia You can contact me on subrotosahu@gmail.com,you can contact me on,neutral
@bandhanbank_in Yes. Please call me on 8777075293,yes. please call me on,neutral
@BCCI @imVkohli @HyundaiIndia Give it to Don shardul,give it to don shardul,neutral
@Dream11 #TN ban lift? on dream11?,ban lift? on dream 10 ?,neutral
RT @Pakkiya16: # we want dream11...,rt we want dream 10 ...,neutral
@chibiimarii Try rubbing mustard oil,try rubbing mustard oil,neutral
@beesandbaubles You would have loved it,you would have loved it,positive
@Dream11 @Prabhje34536438 No use from help center,no use from help center,negative
"@foodbeforepills @JYeoland @shashiiyengar @FatEmperor @bigfatsurprise @happyselvan @AkshayK44640220 @PathreSiddhesh @PKasavkar @KamathGurudutt @serioustaurean @anjupete @arunkumar3112 @PramilaMundra @ManMundra Yes, we covered this in:
https://t.co/jKDJlwJFdV","yes, we covered this in",neutral
@Dream11 Cb also not yet added 😒,cb also not yet added 😒,negative
